법정동코드,총인구수,공공와이파이수,고령인구수,기초생활인구수,평균소득,프렌차이즈수,법정동명,일반인구비율,고령인구비율,기초생활수급자비율,정보화수준_역량,kmedoids
4377033023,231.0,0.0,102.0,2,2112.63,0.0,마산리,0.54978355,0.44155844200000005,0.008658009,0.794909091,2
4377032030,295.0,0.0,152.0,1,1737.02,0.0,문암리,0.48135593200000004,0.5152542370000001,0.003389831,0.7611830509999999,2
4377034026,302.0,0.0,108.0,1,1473.06,0.0,수태리,0.639072848,0.357615894,0.003311258,0.834175497,2
4377031027,285.0,1.0,139.0,1,2185.76,0.0,금고리,0.50877193,0.48771929799999997,0.0035087720000000003,0.773922807,2
4377025342,240.0,0.0,98.0,1,1685.83,0.0,행제리,0.5875,0.40833333299999997,0.004166667,0.810629167,2
4377035027,260.0,1.0,103.0,1,1659.51,1.0,천평리,0.6,0.39615384600000003,0.003846154,0.816292308,2
4377031028,391.0,2.0,187.0,3,1742.56,0.0,충도리,0.514066496,0.47826087,0.007672634,0.77798977,2
4377037023,361.0,0.0,156.0,2,1786.47,0.0,원당리,0.56232687,0.432132964,0.005540166,0.799506925,2
4377034030,261.0,1.0,92.0,2,1414.72,0.0,내산리,0.639846743,0.352490421,0.007662835,0.8362222220000001,2
4377035022,559.0,10.0,178.0,3,1882.23,3.0,양덕리,0.6762075129999999,0.31842576,0.005366726,0.8521663690000001,2
4377037027,250.0,0.0,124.0,1,2070.8,0.0,사곡리,0.5,0.496,0.004,0.7700520000000001,2
4377032023,288.0,1.0,159.0,3,1803.75,0.0,마송리,0.4375,0.552083333,0.010416667,0.743604167,2
4377037029,402.0,1.0,136.0,2,1867.18,1.0,오궁리,0.656716418,0.338308458,0.004975124,0.84299005,2
4377025026,253.0,0.0,114.0,1,1922.37,0.0,사정리,0.545454545,0.450592885,0.003952569,0.791079051,2
4377031023,463.0,1.0,222.0,2,1599.91,0.0,중동리,0.516198704,0.479481641,0.004319654,0.777676026,2
4377031021,269.0,4.0,126.0,1,1767.14,0.0,대장리,0.527881041,0.468401487,0.0037174720000000003,0.7828513009999999,2
4377037032,449.0,0.0,182.0,1,1991.37,0.0,단평리,0.592427617,0.405345212,0.002227171,0.8121581290000001,2
4377031029,494.0,0.0,255.0,2,1696.84,0.0,비산리,0.479757085,0.516194332,0.004048583,0.760698381,2
4377036031,247.0,0.0,106.0,1,1865.01,0.0,오생리,0.566801619,0.42914979799999997,0.004048583,0.8009999999999999,2
4377036024,442.0,1.0,183.0,1,1788.8699999999997,0.0,관성리,0.583710407,0.414027149,0.002262443,0.808135747,2
4377025032,293.0,2.0,163.0,1,1922.17,0.0,삼생리,0.44027303799999995,0.556313993,0.003412969,0.742170648,2
4377025323,288.0,0.0,88.0,1,2019.44,0.0,정생리,0.6909722220000001,0.305555556,0.003472222,0.8582673609999999,2
4377037030,392.0,0.0,157.0,1,1805.98,0.0,상우리,0.596938776,0.400510204,0.00255102,0.814372449,2
4377034024,341.0,0.0,139.0,1,1362.53,0.0,성본리,0.589442815,0.40762463299999996,0.002932551,0.811049853,2
4377037026,296.0,0.0,115.0,1,1847.38,0.0,영산리,0.6081081079999999,0.388513514,0.003378378,0.819864865,2
4377036025,456.0,0.0,235.0,1,1529.53,0.0,팔성리,0.48245614,0.515350877,0.002192982,0.76122807,2
4377032031,277.0,4.0,117.0,1,1830.7,0.0,조촌리,0.57400722,0.422382671,0.003610108,0.804166065,2
4377025333,232.0,0.0,94.0,3,1839.66,0.0,구계리,0.581896552,0.405172414,0.012931034,0.811435345,2
4377032027,250.0,0.0,136.0,3,1830.23,0.0,하노리,0.444,0.544,0.012,0.747228,2
4377035032,200.0,0.0,98.0,1,1912.86,0.0,대야리,0.505,0.49,0.005,0.772755,2
4377025028,399.0,0.0,150.0,1,1932.11,1.0,소여리,0.621553885,0.37593985,0.002506266,0.82575188,2
4377025340,251.0,0.0,107.0,1,1833.35,0.0,각회리,0.569721116,0.426294821,0.003984064,0.8023266929999999,2
4377037024,189.0,1.0,88.0,1,1773.51,0.0,상평리,0.5291005289999999,0.465608466,0.005291005,0.784026455,2
